SubjNum,Age,Gender,Condition,Condition_HardBase,Condition_ImpossibleBase,TrialNumber,TrialNumber_AsFactor,TimeTrying,TimeTrying_sqrt,MaxPSI,MaxPSI_sqrt,HelpSeekingNum_exp,HelpSeekingNum_exp_avg,HelpSeekingRate_exp_avg,HelpSeekingRate_Recovery,NumAffectFrames,TotalPosFrames,TotalNegFrames,NumHints_Recovery
132,18.3,M,Impossible,Impossible,Impossible,1,1,0,3.16227766,NA,NA,0,1.333333333,0.06666667,0,NA,NA,NA,0
132,18.3,M,Impossible,Impossible,Impossible,2,2,0,3.16227766,NA,NA,3,1.333333333,0.06666667,0,NA,NA,NA,0
132,18.3,M,Impossible,Impossible,Impossible,3,3,5.61,3.950949253,1.478,3.387919716,1,1.333333333,0.06666667,0,13,0,0,0
133,19,F,Hard,Hard,Hard,1,1,3.808,3.715911732,0.971,3.312249991,0,0,0,0,9,8,2,0
133,19,F,Hard,Hard,Hard,2,2,5.44,3.929376541,6.575,4.071240597,0,0,0,0,12,0,6,0
133,19,F,Hard,Hard,Hard,3,3,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,0
134,18.97,M,Impossible,Impossible,Impossible,1,1,2.618,3.552182428,0.735,3.276430985,1,0.333333333,0.01666667,0,6,1,3,0
134,18.97,M,Impossible,Impossible,Impossible,2,2,4.42,3.797367509,2.639,3.555137128,0,0.333333333,0.01666667,0,9,0,6,0
134,18.97,M,Impossible,Impossible,Impossible,3,3,0.714,3.27322471,1.538,3.396763165,0,0.333333333,0.01666667,0,2,0,2,0
136,19.2,F,Impossible,Impossible,Impossible,1,1,7.854,4.225399389,0.342,3.215898008,0,0.666666667,0.03333333,0.028638525,17,0,0,5
136,19.2,F,Impossible,Impossible,Impossible,2,2,3.842,3.72048384,0.767,3.281310714,1,0.666666667,0.03333333,0.028638525,8,0,2,5
136,19.2,F,Impossible,Impossible,Impossible,3,3,9.52,4.418144407,1.115,3.333916616,1,0.666666667,0.03333333,0.028638525,19,1,0,5
137,17.8,F,Impossible,Impossible,Impossible,1,1,10.506,4.52835511,3.45,3.667424164,0,0,0,0,22,2,0,0
137,17.8,F,Impossible,Impossible,Impossible,2,2,0.68,3.268026928,2.552,3.542880184,0,0,0,0,2,0,1,0
137,17.8,F,Impossible,Impossible,Impossible,3,3,1.53,3.395585369,3.02,3.608323711,0,0,0,0,4,0,4,0
138,17.9,F,Hard,Hard,Hard,1,1,1.87,3.445286635,2.842,3.583573635,1,1.333333333,0.06666667,0.03839656,4,0,2,0
138,17.9,F,Hard,Hard,Hard,2,2,6.12,4.01497198,6.597,4.07394158,3,1.333333333,0.06666667,0.03839656,13,2,7,0
138,17.9,F,Hard,Hard,Hard,3,3,0,3.16227766,NA,NA,0,1.333333333,0.06666667,0.03839656,NA,NA,NA,0
139,18.93,M,Easy,Easy,Easy,1,1,15.232,5.023146424,9.639,4.431591136,0,0,0,0.043401522,30,20,5,2
139,18.93,M,Easy,Easy,Easy,2,2,7.208,4.148252644,6.666,4.082401254,0,0,0,0.043401522,14,0,7,2
139,18.93,M,Easy,Easy,Easy,3,3,7.344,4.164612827,7.192,4.146323673,0,0,0,0.043401522,15,0,9,2
140,17.73,F,Hard,Hard,Hard,1,1,0,3.16227766,NA,NA,0,0.666666667,0.03333333,0,NA,NA,NA,4
140,17.73,F,Hard,Hard,Hard,2,2,0,3.16227766,NA,NA,1,0.666666667,0.03333333,0,NA,NA,NA,4
140,17.73,F,Hard,Hard,Hard,3,3,5.542,3.942334334,1.532,3.395879857,1,0.666666667,0.03333333,0,13,0,0,4
141,18.97,F,Easy,Easy,Easy,1,1,0,3.16227766,NA,NA,0,1,0.05,0.005829884,NA,NA,NA,4
141,18.97,F,Easy,Easy,Easy,2,2,0,3.16227766,NA,NA,2,1,0.05,0.005829884,NA,NA,NA,4
141,18.97,F,Easy,Easy,Easy,3,3,1.802,3.435403906,0.599,3.255610542,1,1,0.05,0.005829884,4,0,0,4
142,19.03,F,Hard,Hard,Hard,1,1,11.084,4.591731699,6.129,4.016092628,0,1.333333333,0.06666667,0.014382281,22,11,4,3
142,19.03,F,Hard,Hard,Hard,2,2,9.622,4.429672674,0.004,3.162910052,3,1.333333333,0.06666667,0.014382281,20,1,5,3
142,19.03,F,Hard,Hard,Hard,3,3,3.196,3.632629901,4.291,3.7803439,1,1.333333333,0.06666667,0.014382281,8,2,1,3
143,17.9,M,Easy,Easy,Easy,1,1,10.208,4.495330911,0.002,3.162593872,0,1,0.05,0,22,0,0,0
143,17.9,M,Easy,Easy,Easy,2,2,2.456,3.529305881,0.503,3.240833226,1,1,0.05,0,6,1,1,0
143,17.9,M,Easy,Easy,Easy,3,3,3.332,3.651301138,1.815,3.437295448,2,1,0.05,0,8,0,8,0
144,19.1,M,Easy,Easy,Easy,1,1,16.6,5.157518783,11.285,4.61356695,0,0.333333333,0.01666667,0,33,0,18,0
144,19.1,M,Easy,Easy,Easy,2,2,17.45,5.239274759,9.725,4.441283598,0,0.333333333,0.01666667,0,35,0,23,0
144,19.1,M,Easy,Easy,Easy,3,3,11.05,4.588027899,6.195,4.024301182,1,0.333333333,0.01666667,0,21,0,16,0
145,19.2,M,Hard,Hard,Hard,1,1,1.768,3.430451865,0.295,3.208582241,0,0,0,0,4,2,0,0
145,19.2,M,Hard,Hard,Hard,2,2,4.556,3.815232627,NA,NA,0,0,0,0,9,5,0,0
145,19.2,M,Hard,Hard,Hard,3,3,3.74,3.706750599,8.517,4.30313839,0,0,0,0,8,4,0,0
146,18.87,M,Impossible,Impossible,Impossible,1,1,10.854,4.566618005,7.637,4.199642842,0,0.333333333,0.01666667,0,23,15,1,0
146,18.87,M,Impossible,Impossible,Impossible,2,2,7.582,4.193089553,4.875,3.856812155,1,0.333333333,0.01666667,0,16,1,2,0
146,18.87,M,Impossible,Impossible,Impossible,3,3,2.04,3.469870315,4.97,3.869108424,0,0.333333333,0.01666667,0,5,0,4,0
147,18.1,M,Impossible,Impossible,Impossible,1,1,0,3.16227766,NA,NA,0,2.333333333,0.11666667,0.048058439,NA,NA,NA,1
147,18.1,M,Impossible,Impossible,Impossible,2,2,0,3.16227766,NA,NA,4,2.333333333,0.11666667,0.048058439,NA,NA,NA,1
147,18.1,M,Impossible,Impossible,Impossible,3,3,0,3.16227766,NA,NA,3,2.333333333,0.11666667,0.048058439,NA,NA,NA,1
148,18.63,M,Easy,Easy,Easy,1,1,15.784,5.077794797,3.091,3.618148698,0,3,0.15,0.040456348,32,12,0,0
148,18.63,M,Easy,Easy,Easy,2,2,2.924,3.594996523,1.341,3.367640123,2,3,0.15,0.040456348,8,0,0,0
148,18.63,M,Easy,Easy,Easy,3,3,0,3.16227766,NA,NA,NA,3,0.15,0.040456348,NA,NA,NA,0
149,17.7,F,Hard,Hard,Hard,1,1,5.618,3.951961538,0.321,3.21263132,1,2,0.1,0,13,1,0,2
149,17.7,F,Hard,Hard,Hard,2,2,2.89,3.590264614,5.972,3.996498467,3,2,0.1,0,6,0,2,2
149,17.7,F,Hard,Hard,Hard,3,3,0,3.16227766,NA,NA,2,2,0.1,0,NA,NA,NA,2
152,19.1,F,Hard,Hard,Hard,1,1,4.182,3.765899627,2.858,3.585805349,0,0,0,0,9,0,0,0
152,19.1,F,Hard,Hard,Hard,2,2,2.312,3.508845964,5.194,3.897948178,0,0,0,0,5,2,0,0
152,19.1,F,Hard,Hard,Hard,3,3,3.91,3.72961124,4.149,3.761515652,0,0,0,0,8,0,0,0
156,17.93,F,Easy,Easy,Easy,1,1,7.446,4.176840912,5.022,3.875822493,2,1.333333333,0.06666667,0,17,2,0,1
156,17.93,F,Easy,Easy,Easy,2,2,1.836,3.44034882,4.104,3.755529257,1,1.333333333,0.06666667,0,4,0,4,1
156,17.93,F,Easy,Easy,Easy,3,3,3,3.605551275,8.949,4.353044911,1,1.333333333,0.06666667,0,7,0,7,1
157,17.73,M,Hard,Hard,Hard,1,1,10.642,4.543346784,3.497,3.673826343,0,0.333333333,0.01666667,0,23,5,1,3
157,17.73,M,Hard,Hard,Hard,2,2,2.482,3.532987404,5.248,3.904868756,1,0.333333333,0.01666667,0,5,1,1,3
157,17.73,M,Hard,Hard,Hard,3,3,0,3.16227766,NA,NA,0,0.333333333,0.01666667,0,NA,NA,NA,3
159,18.83,M,Impossible,Impossible,Impossible,1,1,11.118,4.595432515,0.534,3.245612423,0,0.333333333,0.01666667,0.050797521,24,1,0,0
159,18.83,M,Impossible,Impossible,Impossible,2,2,5.95,3.99374511,7.319,4.161610265,1,0.333333333,0.01666667,0.050797521,14,0,2,0
159,18.83,M,Impossible,Impossible,Impossible,3,3,4.998,3.872725139,5.547,3.942968425,0,0.333333333,0.01666667,0.050797521,11,1,1,0
161,19.2,M,Hard,Hard,Hard,1,1,2.006,3.464967532,0.327,3.213564999,1,1.666666667,0.083333333,NA,4,0,0,NA
161,19.2,M,Hard,Hard,Hard,2,2,4.148,3.761382724,0.836,3.291808014,4,1.666666667,0.083333333,NA,9,2,3,NA
161,19.2,M,Hard,Hard,Hard,3,3,0.442,3.231408362,0.317,3.212008717,0,1.666666667,0.083333333,NA,1,1,0,NA
162,18.33,M,Easy,Easy,Easy,1,1,14.73,4.972926704,3.846,3.721021365,0,0,0,0,29,10,8,0
162,18.33,M,Easy,Easy,Easy,2,2,4.692,3.833014479,5.861,3.982587099,0,0,0,0,10,0,3,0
162,18.33,M,Easy,Easy,Easy,3,3,4.122,3.757924959,3.627,3.691476669,0,0,0,0,9,3,5,0
